Inicio Corte,Fin Corte,Duración (s),Causa Probable,Bajada (Mbps),Subida (Mbps)
2025-12-06 20:55:01,2025-12-06 20:55:02,1.29,ISP (Internet),N/A,N/A
2025-12-06 20:56:08,2025-12-06 20:56:10,1.24,ISP (Internet),N/A,N/A
2025-12-06 21:02:31,2025-12-06 21:02:33,1.3,ISP (Internet),N/A,N/A
2025-12-06 21:02:46,2025-12-06 21:02:48,1.24,ISP (Internet),N/A,N/A
2025-12-06 21:05:51,2025-12-06 21:05:53,1.22,ISP (Internet),N/A,N/A
2025-12-06 21:06:29,2025-12-06 21:06:31,1.24,ISP (Internet),N/A,N/A
2025-12-06 21:14:19,2025-12-06 21:14:20,1.22,ISP (Internet),N/A,N/A
2025-12-06 21:15:33,2025-12-06 21:15:34,1.22,ISP (Internet),N/A,N/A
2025-12-06 21:18:27,2025-12-06 21:18:28,1.19,ISP (Internet),N/A,N/A
2025-12-06 21:19:03,2025-12-06 21:19:05,1.25,ISP (Internet),N/A,N/A
2025-12-06 21:21:10,2025-12-06 21:21:11,1.21,ISP (Internet),N/A,N/A
